source,subject,price_raw,price_clean,odo,year,age,condition,km_per_year,battery_status,description
otodien_B2C,VinFast Limo Green 2025 - 7000 km,640 triệu,640000000,7000.0,2025.0,1,Đã sử dụng,7000.0,Thuê pin,"Vinfast Limo green sản xuất 2025 .ODO 7000KM , 
- Xe mua pin chính sách sạc miễn phí sạc full không giới hạn số lần sạc . 
- Xe đã mua bảo hiểm thân vỏ 1 năm 
- Xe đã lên : ghế da nappa , thảm sàn xịn ,đăng kiểm 3 năm , vv... SĐT liên hệ: 097538**** Hiện số"
otodien_B2C,VinFast VF7 2024 Eco - 17000 km,629 triệu,629000000,17000.0,2024.0,2,Đã sử dụng,8500.0,Thuê pin,"Vf7 eco 2024
Odo 17.000 km
Sẵn film, sàn
Sạc free ( không giới hạn ) SĐT liên hệ: 098234**** Hiện số"
otodien_B2C,VINFAST VF5 PLUS 2026 – GIÁ TỐT – GIAO NGAY!,496 triệu,496000000,,2026.0,0,Đã sử dụng,,Thuê pin,"🚘 VINFAST VF5 PLUS 2026 – SUV ĐIỆN ĐÔ THỊ ĐÁNG MUA NHẤT:
• Thiết kế hiện đại, trẻ trung, phù hợp gia đình và cá nhân
• Màu trắng cao cấp – sang trọng, sạch đẹp và giữ giá tốt
• Nội thất rộng rãi 5 chỗ ngồi thoải mái
• Trang bị hiện đại: màn hình giải trí lớn, camera 360, điều khiển thông minh
• Vận hành êm ái, tiết kiệm chi phí hơn xe xăng
• Công nghệ an toàn tiên tiến, an tâm trên mọi hành trình SĐT liên hệ: 094821**** Hiện số"
otodien_B2C,VinFast VF3 2025 - 20000 km,240 triệu,240000000,20000.0,2025.0,1,Đã sử dụng,20000.0,Thuê pin,"VF3 màu Vàng xe sản xuất 2025 bản mua pin , Odo 2V Km , Xe được hưởng chính sách mới miễn phí sạc 2/2029
- Xe đã trang bị: Gần 50T  phụ kiện 
- Dán gói phim cách nhiệt hạng thương gia 8T . 
- Xe trang bị giá nóc thể thao 6,5t 
- Ghế da nappa mềm như em bé , bọc vô lăng
- Xe đã độ bộ mâm lốp bánh to đi cực êm và chắc khoẻ 19T
-Đang kiểm 3 năm . 
- độ chống ồn, vvv... và nhiều đồ chơi khác SĐT liên hệ: 097538**** Hiện số"
otodien_B2C,"🚗 VF7 PLUS MỚI – SUV ĐIỆN CAO CẤP, ƯU ĐÃI CỰC SỐC",780 triệu,780000000,,2026.0,0,Đã sử dụng,,Thuê pin,"Trải nghiệm đẳng cấp với mẫu SUV điện hàng đầu VinFast VF7 Plus 2026 – thiết kế sang trọng, công nghệ tiên tiến, hiệu suất mạnh mẽ!

💥 CHƯƠNG TRÌNH ƯU ĐÃI HẤP DẪN

🔹 Giảm thêm 6% – chương trình “Mãnh liệt vì tương lai xanh”
🔹 Giảm thêm 5% cho khối công an, quân đội
🔹 Giảm thêm 2% chương trình ""Mùa hè rực rỡ""
🔹 Ưu đãi giảm thêm trực tiếp từ đại lý
🔹 🎁 Miễn phí sạc đến tháng 02/2029 – tiết kiệm chi phí vận hành tối đa

⚡ ĐIỂM NỔI BẬT VF7 PLUS 2026

✔️ Thiết kế SUV coupe thể thao, đậm chất tương lai
✔️ Nội thất cao cấp, màn hình lớn, tích hợp AI thông minh
✔️ Động cơ điện mạnh mẽ, tăng tốc ấn tượng
✔️ Hệ dẫn động & công nghệ an toàn hiện đại
✔️ Không chi phí xăng dầu – vận hành êm ái, thân thiện môi trường 🌱

📞 LIÊN HỆ NGAY – NHẬN GIÁ TỐT NHẤT

☎️ Hotline: ***
📍 Địa chỉ: Km 8+400 Đại lộ Thăng Long, Sơn Đồng, TP Hà Nội SĐT liên hệ: 086500**** Hiện số"
otodien_B2C,VinFast VF9 2024 Plus - 40000 km,1 tỷ 120 triệu,1120000000,40000.0,2024.0,2,Đã sử dụng,20000.0,Thuê pin,"VF 9 Plus sx 2024, 7 chỗ trần thép odo 4v km, Pin Calt không giới hạn số lần sạc. Xuất hóa đơn 1 tỷ SĐT liên hệ: 034568**** Hiện số"
otodien_B2C,🔥 VINFAST VF8 ALL NEW 2026 CHÍNH THỨC RA MẮT !,828 triệu,828000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"⚡ Khách hàng tiên phong nhận ưu đãi lên tới 51 TRIỆU – Dự kiến giao xe cuối tháng 07/2026

🚘 VinFast VF8 ALL NEW 2026 – mẫu SUV điện thế hệ mới sở hữu thiết kế đẳng cấp, công nghệ hiện đại và khả năng vận hành mạnh mẽ, sẵn sàng chinh phục mọi hành trình.

💥 ƯU ĐÃI ĐẶC BIỆT KHÔNG THỂ BỎ LỠ

✅ Giảm ngay 10% chương trình “Mãnh liệt vì tương lai xanh”
✅ Ưu đãi thêm 5% dành cho công an, quân đội
✅ Giảm thêm 2% chương trình ""Mùa hè rực rỡ""
✅ Ưu đãi trực tiếp hấp dẫn từ đại lý
✅ Miễn phí sạc pin đến hết tháng 02/2029
✅ Khách hàng đặt sớm nhận ưu đãi tiên phong lên tới 51 triệu đồng

✨ VINFAST VF8 ALL NEW 2026 – ĐẲNG CẤP SUV ĐIỆN THỜI THƯỢNG

✔️ Thiết kế SUV sang trọng, mạnh mẽ chuẩn phong cách châu Âu
✔️ Nội thất cao cấp, không gian rộng rãi, tiện nghi hiện đại
✔️ Màn hình giải trí cỡ lớn tích hợp trợ lý ảo thông minh
✔️ Động cơ điện vận hành êm ái, tăng tốc mạnh mẽ
✔️ Công nghệ an toàn và hỗ trợ lái tiên tiến hàng đầu
✔️ Không phát thải – xu hướng di chuyển xanh bền vững 🌱

⚡ Sở hữu VF8 ALL NEW ngay hôm nay để trải nghiệm chuẩn SUV điện cao cấp với chi phí vận hành cực tiết kiệm!

📍 Showroom VinFast:
Km 8+400 Đại lộ Thăng Long, Sơn Đồng, TP Hà Nội

📞 Hotline tư vấn & nhận báo giá tốt nhất:
***

⏰ Số lượng xe ưu đãi tiên phong có hạn – Liên hệ ngay để giữ suất giao xe sớm! SĐT liên hệ: 086500**** Hiện số"
otodien_B2C,VinFast Nerio Green 2026 - 11 km,630 triệu,630000000,11.0,2026.0,0,Đã sử dụng,11.0,Cần xác minh,"Xe vừa ra đăng ký anh chủ đã quyết bán đổi xe to hơn 

Herio green đen 2026 odo 11km SĐT liên hệ: 082623**** Hiện số"
otodien_B2C,VinFast Limo Green 2026 - 24000 km,635 triệu,635000000,24000.0,2026.0,0,Đã sử dụng,24000.0,Thuê pin,"👉Limo sản xuất 2026 hàng hiếm trên thị trường
- Sạc không giới hạn
- Odo 2.4 vạn
✍️Xe lên nhiều đồ 
- Ghế da cao
- Lên Bi gầm
- Ốp bảo vệ Pin
- HUD kính lái
- Dán phim xin chính hàng
- Thàm sàn, lót cốp HuVi
- Cam hành trình trước sau
- cảm biến áp suất lốp SĐT liên hệ: 091171**** Hiện số"
otodien_B2C,"VINFAST VF 6 ECO MỚI 100% – SUV ĐIỆN 5 CHỖ, GIÁ TỐT, HỖ TRỢ TRẢ GÓP",646 triệu,646000000,0.0,2026.0,0,Mới,0.0,Thuê pin,"🚙 VINFAST VF 6 ECO MỚI 100% – SUV ĐIỆN 5 CHỖ HIỆN ĐẠI, TIẾT KIỆM

✅ Dòng xe: VinFast VF 6 Eco
✅ Tình trạng: Xe mới 100%
✅ SUV điện 5 chỗ
✅ Thiết kế hiện đại, trẻ trung
✅ Không gian nội thất rộng rãi, phù hợp gia đình
✅ Vận hành êm ái, dễ sử dụng
✅ Kích thước vừa phải, linh hoạt khi đi phố
✅ Gầm cao, tầm quan sát tốt
✅ Chi phí vận hành tiết kiệm
✅ Nhiều màu sắc để lựa chọn

VinFast VF 6 Eco phù hợp với khách hàng đang tìm kiếm một mẫu SUV điện 5 chỗ có kích thước vừa phải, dễ di chuyển trong thành phố nhưng vẫn đảm bảo không gian thoải mái cho cả gia đình.

Xe đáp ứng tốt nhu cầu đi làm hằng ngày, đưa đón con, đi chơi cuối tuần hoặc di chuyển đường dài. Thiết kế hiện đại kết hợp khả năng vận hành êm ái giúp VF 6 Eco trở thành lựa chọn đáng cân nhắc trong phân khúc SUV điện cỡ B.

💰 GIÁ XE: Liên hệ nhận báo giá và chương trình ưu đãi mới nhất SĐT liên hệ: 079596**** Hiện số"
