list_id,family,condition,year,region,price_vnd,odo_km,battery_topic,peer_listings,peer_sellers,peer_median_vnd,peer_p25_vnd,peer_p75_vnd,price_position,verification_status,subject
134518548,VF3,New,2026,Ho Chi Minh City,278000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast VF3 Eco, Plus Điện đủ mẫu mã giá sập sàn🚨"
134609331,VF3,Used,2024,Ho Chi Minh City,195000000,28000.0,Rental mentioned,14,14,202000000.0,198000000.0,218000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF3 2024 Vàng Điện
134331029,VF3,New,2026,Ho Chi Minh City,266000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF 3 PLUS Đỏ SẴN XE GIAO NGAY TRẢ TRƯỚC 0Đ
134608049,Limo Green,New,2026,Ho Chi Minh City,649000000,,Not mentioned,64,43,652000000.0,629750000.0,664000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price","VinFast LimoGreen, trả trước 84tr, nhận xe ngay"
133679636,MPV7,New,2026,Ho Chi Minh City,705000000,,Not mentioned,23,22,699000000.0,650000000.0,710000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF MPV 7 Trả Trước 100tr
133840245,VF5,New,2026,Ho Chi Minh City,425000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF5 Plus mới đủ màu đủ mẫu-Giá sập sàn
134284878,VF5,New,2026,Ho Chi Minh City,430000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Below peer P25: verify,"Unverified historical ad; confirm availability, trim, battery and full price","VF5 vay 85-100%, giảm giá 66t, còn 430t"
134564899,VF5,New,2026,Ho Chi Minh City,444000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VINFAST VF5 PLUS - 444 TRIỆU - CHƯƠNG TRÌNH THƯỜNG
134611629,VF5,New,2026,Ho Chi Minh City,471000000,,Not mentioned,66,40,446000000.0,431000000.0,471000000.0,Within peer IQR,"Unverified historical ad; confirm availability, trim, battery and full price",VF5 HỖ TRỢ VAY ĐẾN 90%-BAO HỒ SƠ XẤU
133839004,VF3,New,2026,Ho Chi Minh City,280000000,,Not mentioned,68,40,278000000.0,276750000.0,278000000.0,Above peer P75: check extras,"Unverified historical ad; confirm availability, trim, battery and full price",VinFast VF3 Trắng
