family,condition,listings,median,p25,p75,distinct_sellers
EC VAN,New,23,248.0,248.0,268.0,21
EC VAN,Used,1,306.0,306.0,306.0,1
Herio Green,New,5,397.0,325.0,420.0,5
Herio Green,Used,1,359.0,359.0,359.0,1
Limo Green,New,93,644.0,629.0,664.0,62
Limo Green,Used,21,615.0,595.0,625.0,18
MPV7,New,28,693.0,649.99999975,707.5,27
MPV7,Used,3,640.0,637.5,645.0,3
Minio Green,New,5,180.0,175.0,184.0,5
Minio Green,Used,4,188.0,183.0,188.0,4
Nerio Green,Used,1,450.0,450.0,450.0,1
VF2,New,27,180.0,179.78,180.0,27
VF3,New,96,278.0,270.9375,279.0,63
VF3,Used,72,248.0,212.25,265.0,53
VF5,New,92,438.0,425.0,471.0,64
VF5,Used,43,370.0,352.5,399.0,41
VF6,New,61,615.0,586.0,646.0,49
VF6,Used,37,565.0,536.0,608.0,26
VF7,New,46,740.0,700.75,740.0,24
VF7,Used,17,690.0,639.0,739.0,15
VF8,New,61,848.0,840.0,898.0,30
VF8,Used,65,678.0,610.0,745.0,36
VF9,New,40,1348.0,1248.75,1348.0,14
VF9,Used,16,1160.0,1140.0,1191.25,10
VFe34,Used,9,350.0,350.0,369.0,9
