family,variant,promo_vnd,displayed_regular_vnd,source_url,retrieved_at_utc,effective_date,battery_inclusion,conditions,snapshot_sha256
VF3,Eco,270750000,285000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf3.html,2026-09-13T02:25:14.159319+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",a5ee8fcbf026af114fa95ea5526c2a0724abd55f02491e5086079f62f0f4e376
VF3,Plus,281200000,296000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf3.html,2026-09-13T02:25:14.159319+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",a5ee8fcbf026af114fa95ea5526c2a0724abd55f02491e5086079f62f0f4e376
VF5,Plus,471200000,496000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf5.html,2026-09-13T02:25:16.358660+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",65f270cf21663a8be8848267de6efcfe73f6a716f734e0b4659f2aaed50cddfc
VF6,Eco,613700000,646000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf6.html,2026-09-13T02:25:18.213345+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",ff22c8495fd9214cc99654f9be0bcca7023c2a28404ae72f5acacef3d85a29a5
VF6,Plus,664050000,699000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf6.html,2026-09-13T02:25:18.213345+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",ff22c8495fd9214cc99654f9be0bcca7023c2a28404ae72f5acacef3d85a29a5
VF7,Eco,703000000,740000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf7.html,2026-09-13T02:25:20.181209+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",0d4f6b2022c8bd1e36eb3a3d0e4f0dc90a135ab20c079ed79644ae2bffda3804
VF7,Plus,788500000,830000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf7.html,2026-09-13T02:25:20.181209+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",0d4f6b2022c8bd1e36eb3a3d0e4f0dc90a135ab20c079ed79644ae2bffda3804
VF7,Plus panoramic roof,807500000,850000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-dien-vf7.html,2026-09-13T02:25:20.181209+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",0d4f6b2022c8bd1e36eb3a3d0e4f0dc90a135ab20c079ed79644ae2bffda3804
VF8,Eco,853100000,898000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf8.html,2026-09-13T02:25:23.124824+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",70bed8bd939955f51ec0275afa3bbe840bb89c282bfd471cc9609b85a8383ef2
VF8,Plus,1025050000,1079000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf8.html,2026-09-13T02:25:23.124824+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",70bed8bd939955f51ec0275afa3bbe840bb89c282bfd471cc9609b85a8383ef2
VF9,Eco,1280600000,1348000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf9.html,2026-09-13T02:25:24.860878+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",6350382c181942a5d6a877eae40989a977f58a12402d91176f5d22410976ed8a
VF9,Plus,1452550000,1529000000,https://shop.vinfastauto.com/vn_vi/dat-coc-xe-vf9.html,2026-09-13T02:25:24.860878+00:00,,not independently verified,"Displayed starting offer; eligibility, options and on-road fees require dealer confirmation",6350382c181942a5d6a877eae40989a977f58a12402d91176f5d22410976ed8a
