list_id,subject,price,body,regdate,mileage_v2,region_name,area_name,body_clean,battery_status,brand,model,benchmark_msrp,depreciation_pct
134623797,Xe Điện Xmen,5000000,Cần bán 5 triệu xe đầy đủ giấy tờ đăng ký,2026,10000.0,Hà Nội,Huyện Phú Xuyên,Cần bán 5 triệu xe đầy đủ giấy tờ đăng ký,Cần xác minh,Khác,Không phân loại,,
134160705,VinFast Feliz 2025 Xanh oliu - Chính chủ - BSTP,21500000,"🔥 FELIZ 2025 1 PIN – XANH OLIU – CHÍNH CHỦ
📌 Date T6/2026
📌 Odo 12.000 km
📌 BSTP - Chính chủ
📌 Chính chủ, ủy quyền, sang tên công chứng nhanh gọn
💰 Giá: 2x
-----------------------
💚 Xe Điện Lướt Sài Gòn – Chuyên mua bán xe máy điện đã qua sử dụng tại TP.HCM
✅ Có trả góp – Cà thẻ – Giao tận nhà
📍 118A Chiến Lược, P. Bình Trị Đông, TP.HCM",2025,12000.0,Tp Hồ Chí Minh,Quận Bình Tân,"🔥 FELIZ 2025 1 PIN – XANH OLIU – CHÍNH CHỦ
📌 Date T6/2026
📌 Odo 12.000 km
📌 BSTP - Chính chủ
📌 Chính chủ, ủy quyền, sang tên công chứng nhanh gọn
💰 Giá: 2x
-----------------------
💚 Xe Điện Lướt Sài Gòn – Chuyên mua bán xe máy điện đã qua sử dụng tại TP.HCM
✅ Có trả góp – Cà thẻ – Giao tận nhà
📍 118A Chiến Lược, P. Bình Trị Đông, TP.HCM",Cần xác minh,VinFast,Feliz,27000000.0,20.4
134537840,Xe máy điện Yadea thể thao Cam đen,7500000,"Xe máy điện màu cam đen, kiểu dáng thể thao, phù hợp cho cả nam và nữ. 
- Xe chính chủ, có thể ký giấy sang tên. 
- Thích hợp cho học sinh, sinh viên không cần bằng lái. 
- Xe đang sử dụng tốt.",2023,123.0,Tp Hồ Chí Minh,Quận 12,"Xe máy điện màu cam đen, kiểu dáng thể thao, phù hợp cho cả nam và nữ. 
- Xe chính chủ, có thể ký giấy sang tên. 
- Thích hợp cho học sinh, sinh viên không cần bằng lái. 
- Xe đang sử dụng tốt.",Cần xác minh,Yadea,Yadea (Khác),14990000.0,50.0
134623423,Xe điện VinFast Klara màu Đen,10000000,"Tôi có 1 xe điện vinfast Klara màu đen như hình muốn bán do không có nhu cầu sử dụng. Xe còn đi tốt, vẫn chạy bình thường, vỏ còn nguyên vẹn, ko va chạm hay trầy xước. Xe tôi đi ít nên giữ gìn rất cẩn thận.",2020,19903.0,Hà Nội,Quận Ba Đình,"Tôi có 1 xe điện vinfast Klara màu đen như hình muốn bán do không có nhu cầu sử dụng. Xe còn đi tốt, vẫn chạy bình thường, vỏ còn nguyên vẹn, ko va chạm hay trầy xước. Xe tôi đi ít nên giữ gìn rất cẩn thận.",Cần xác minh,VinFast,Klara,35000000.0,71.4
133934022,Vinfast Evo200 Vàng zin 100% chính chủ,21900000,"     
 ✅ Vinfast Evo200 siêu đẹp ko một vết trầy 2025 
✅ Xe chính chủ Bstp ký mua bán ủy quyền đều được nhé 
✅ Pin 3.5 mua đứt bảo hành 8 năm ,sạc đầy đi được 200km
✅ Giá bán : 21,9tr
✅ Dt : 
✅ Xem xe Q6, Ship toàn quốc
",2025,14000.0,Tp Hồ Chí Minh,Quận 6,"     
 ✅ Vinfast Evo200 siêu đẹp ko một vết trầy 2025 
✅ Xe chính chủ Bstp ký mua bán ủy quyền đều được nhé 
✅ Pin 3.5 mua đứt bảo hành 8 năm ,sạc đầy đi được 200km
✅ Giá bán : 21,9tr
✅ Dt : 
✅ Xem xe Q6, Ship toàn quốc
",Kèm pin,VinFast,Evo 200,18000000.0,-21.7
134623388,Xe máy điện VinFast Feliz Đen 14000 km,19500000,Xe odo 14 ngàn xe hoạt động bình thường không lỗi làm gì chỉ việc mua về là chạy không cần suy nghĩ gì hết,2026,14000.0,Đồng Nai,Huyện Xuân Lộc,Xe odo 14 ngàn xe hoạt động bình thường không lỗi làm gì chỉ việc mua về là chạy không cần suy nghĩ gì hết,Cần xác minh,VinFast,Feliz,27000000.0,27.8
134623383,Xe máy điện VinFast Feliz Trắng 300 km,26000000,Xe mới mua về không đi như mới odo mới 300km xe sẵn 2 pin chỉ việc mua về là chạy không khác gì xe mới đầy đủ phụ kiện,2026,300.0,Đồng Nai,Huyện Xuân Lộc,Xe mới mua về không đi như mới odo mới 300km xe sẵn 2 pin chỉ việc mua về là chạy không khác gì xe mới đầy đủ phụ kiện,Cần xác minh,VinFast,Feliz,27000000.0,3.7
134623365,Xe máy điện  2026 Hồng Đã sử dụng,9500000,Xe mới mua được 4 ngày không có nhu cầu đi nữa bán lại mới 99% kh vết trầy xe hoạt động bình thường không lỗi chỉ việc về cắm sạc là chạy,2026,10.0,Đồng Nai,Huyện Xuân Lộc,Xe mới mua được 4 ngày không có nhu cầu đi nữa bán lại mới 99% kh vết trầy xe hoạt động bình thường không lỗi chỉ việc về cắm sạc là chạy,Cần xác minh,Khác,Không phân loại,,
134596908,Quantum S1 2025 lướt đẹp,38500000,"Xe máy điện màu trắng, pin 100% cho quãng đường di chuyển xa. 
- Thiết kế hiện đại, trẻ trung. 
- Vận hành êm ái, tiết kiệm năng lượng. 
- Phù hợp di chuyển trong thành phố.",2025,10.0,Tp Hồ Chí Minh,Quận Bình Tân,"Xe máy điện màu trắng, pin 100% cho quãng đường di chuyển xa. 
- Thiết kế hiện đại, trẻ trung. 
- Vận hành êm ái, tiết kiệm năng lượng. 
- Phù hợp di chuyển trong thành phố.",Cần xác minh,Dat Bike,Quantum,34900000.0,-10.3
134509389,Xe máy điện VinFast Evo200 2025 Đen,20900000,"Evo200  - Bstp 9 Chủ ĐK 2025
- Dàn áo dán keng 98%
- Óc tán 7 màu keng 98%
- Còn đủ phụ kiện theo xe
❤️Xe keng 98% so với xe new 
⛔️ Nợ xấu đưa 0đ có LÃI SUẤT hoặc 11tr KO LÃI SUẤT
--------------------
✅ 𝗛𝗼̂̃ 𝗧𝗿𝗼̛̣ 𝗔𝗲 𝗟𝗲̂𝗻 𝗛𝗼̂̀ 𝗦𝗼̛ 𝗕𝗮𝗻𝗸 𝗡𝗵𝗮̣̂𝗻 𝗫𝗲 𝗩𝗮̀ 𝗖𝗮𝘃𝗲𝘁 𝗚𝗼̂́𝗰
✅ 𝗡𝗼̛̣ 𝗫𝗮̂́𝘂 – 𝗛𝗼̂̃ 𝗧𝗿𝗼̛̣ 𝟬 Đ𝗼̂̀𝗻𝗴 – 𝗞𝗵𝗼̂𝗻𝗴 𝗫𝗮́𝗰 𝗠𝗶𝗻𝗵
✅ 𝗡𝗼̛̣ 𝗫𝗮̂́𝘂 – 𝗛𝗼̂̃ 𝗧𝗿𝗼̛̣ Đ𝘂̛𝗮 𝟯𝟬% – 𝗞𝗵𝗼̂𝗻𝗴 𝗟𝗮̃𝗶
✅ Đ𝗼̂̉𝗶 𝗣𝗶𝗻 𝗞𝗵𝗼̂𝗻𝗴 𝗖𝗵𝗼̛̀ 𝗦𝗮̣c 𝗡𝗵𝗶𝗲̂̀𝘂 𝗖𝗵𝗶 𝗡𝗵𝗮́𝗻𝗵
✅ 𝗛ỗ 𝗧𝗿𝗼̛̣ 𝟮 𝗡𝗮̆𝗺 𝗫𝗲 𝗛𝘂̛ – 𝗖𝗼́ 𝗫𝗲 𝗞𝗵𝗮́𝗰 𝗗𝘂̀𝗻𝗴
✅ Đ𝗮̆𝗻𝗴 𝗞𝘆́ 𝗔𝗽𝗽 𝗫𝗮𝗻𝗵 𝗣𝗹𝗮𝘁𝗳𝗼𝗿𝗺 – 𝗧𝗮̣𝗶 𝗖𝗵𝗼̂̃
--------------------
🏠𝟮𝟴𝟴 𝗧𝗿𝘂̛𝗼̛̀𝗻𝗴 𝗖𝗵𝗶𝗻𝗵 - 𝗣𝗵ư𝗼̛̀𝗻𝗴 Đ𝗼̂𝗻𝗴 𝗛𝘂̛𝗻𝗴 𝗧𝗵𝘂𝗮̣̂𝗻 - 𝗛𝗖𝗠 (𝗤𝘂𝗮̣̂𝗻𝟭𝟮 𝗰𝘂̃)",2025,0.0,Tp Hồ Chí Minh,Quận 12,"Evo200  - Bstp 9 Chủ ĐK 2025
- Dàn áo dán keng 98%
- Óc tán 7 màu keng 98%
- Còn đủ phụ kiện theo xe
❤️Xe keng 98% so với xe new 
⛔️ Nợ xấu đưa 0đ có LÃI SUẤT hoặc 11tr KO LÃI SUẤT
--------------------
✅ 𝗛𝗼̂̃ 𝗧𝗿𝗼̛̣ 𝗔𝗲 𝗟𝗲̂𝗻 𝗛𝗼̂̀ 𝗦𝗼̛ 𝗕𝗮𝗻𝗸 𝗡𝗵𝗮̣̂𝗻 𝗫𝗲 𝗩𝗮̀ 𝗖𝗮𝘃𝗲𝘁 𝗚𝗼̂́𝗰
✅ 𝗡𝗼̛̣ 𝗫𝗮̂́𝘂 – 𝗛𝗼̂̃ 𝗧𝗿𝗼̛̣ 𝟬 Đ𝗼̂̀𝗻𝗴 – 𝗞𝗵𝗼̂𝗻𝗴 𝗫𝗮́𝗰 𝗠𝗶𝗻𝗵
✅ 𝗡𝗼̛̣ 𝗫𝗮̂́𝘂 – 𝗛𝗼̂̃ 𝗧𝗿𝗼̛̣ Đ𝘂̛𝗮 𝟯𝟬% – 𝗞𝗵𝗼̂𝗻𝗴 𝗟𝗮̃𝗶
✅ Đ𝗼̂̉𝗶 𝗣𝗶𝗻 𝗞𝗵𝗼̂𝗻𝗴 𝗖𝗵𝗼̛̀ 𝗦𝗮̣c 𝗡𝗵𝗶𝗲̂̀𝘂 𝗖𝗵𝗶 𝗡𝗵𝗮́𝗻𝗵
✅ 𝗛ỗ 𝗧𝗿𝗼̛̣ 𝟮 𝗡𝗮̆𝗺 𝗫𝗲 𝗛𝘂̛ – 𝗖𝗼́ 𝗫𝗲 𝗞𝗵𝗮́𝗰 𝗗𝘂̀𝗻𝗴
✅ Đ𝗮̆𝗻𝗴 𝗞𝘆́ 𝗔𝗽𝗽 𝗫𝗮𝗻𝗵 𝗣𝗹𝗮𝘁𝗳𝗼𝗿𝗺 – 𝗧𝗮̣𝗶 𝗖𝗵𝗼̂̃
--------------------
🏠𝟮𝟴𝟴 𝗧𝗿𝘂̛𝗼̛̀𝗻𝗴 𝗖𝗵𝗶𝗻𝗵 - 𝗣𝗵ư𝗼̛̀𝗻𝗴 Đ𝗼̂𝗻𝗴 𝗛𝘂̛𝗻𝗴 𝗧𝗵𝘂𝗮̣̂𝗻 - 𝗛𝗖𝗠 (𝗤𝘂𝗮̣̂𝗻𝟭𝟮 𝗰𝘂̃)",Cần xác minh,VinFast,Evo 200,18000000.0,-16.1
