Category,Brand_ID,Brand_Name,Model_ID,Model_Name
Xe máy,1,Honda,2,@
Xe máy,1,Honda,1,67
Xe máy,1,Honda,397,ADV 150
Xe máy,1,Honda,438,ADV 160
Xe máy,1,Honda,605,ADV 350
Xe máy,1,Honda,3,Air Blade
Xe máy,1,Honda,334,Avitor
Xe máy,1,Honda,388,Beat
Xe máy,1,Honda,333,Blade
Xe máy,1,Honda,4,CB
Xe máy,1,Honda,5,CBR
Xe máy,1,Honda,6,CD
Xe máy,1,Honda,400,CG125Fi
Xe máy,1,Honda,617,CGX
Xe máy,1,Honda,7,Chaly
Xe máy,1,Honda,8,Citi
Xe máy,1,Honda,9,Click
Xe máy,1,Honda,10,Cub
Xe máy,1,Honda,593,CUV e
Xe máy,1,Honda,745,Dash
Xe máy,1,Honda,11,Dream
Xe máy,1,Honda,12,Dylan
Xe máy,1,Honda,387,Forza 300
Xe máy,1,Honda,743,Forza 350
Xe máy,1,Honda,13,Future
Xe máy,1,Honda,426,Giorno
Xe máy,1,Honda,592,ICON e
Xe máy,1,Honda,405,KPR
Xe máy,1,Honda,14,Lead
Xe máy,1,Honda,390,Monkey
Xe máy,1,Honda,292,MSX 125
Xe máy,1,Honda,336,Nova
Xe máy,1,Honda,15,PCX
Xe máy,1,Honda,16,PS
Xe máy,1,Honda,17,Rebel
Xe máy,1,Honda,607,Rebel 1100
Xe máy,1,Honda,335,Scoopy
Xe máy,1,Honda,18,SCR
Xe máy,1,Honda,19,SH
Xe máy,1,Honda,393,Shadow
Xe máy,1,Honda,279,SH Mode
Xe máy,1,Honda,379,Sonic
Xe máy,1,Honda,20,Spacy
Xe máy,1,Honda,728,UC3
Xe máy,1,Honda,362,Vario
Xe máy,1,Honda,21,Vision
Xe máy,1,Honda,22,Wave
Xe máy,1,Honda,23,Win
Xe máy,1,Honda,293,Winner
Xe máy,1,Honda,606,Winner R
Xe máy,1,Honda,396,Winner X
Xe máy,1,Honda,729,WN7
Xe máy,1,Honda,24,Dòng khác
Xe máy,10,CR&S,156,CUU
Xe máy,10,CR&S,157,VUN
Xe máy,10,CR&S,158,Dòng khác
Xe máy,11,Daelim,193,A-4
Xe máy,11,Daelim,196,B-bone
Xe máy,11,Daelim,197,Besbi125
Xe máy,11,Daelim,322,BS
Xe máy,11,Daelim,323,Cub
Xe máy,11,Daelim,198,DayStar125Fi
Xe máy,11,Daelim,194,E-FIVE
