source,subject,price_raw,price_clean,battery_status
otodien_B2C,🔥 MPV7 – XE GIA ĐÌNH 7 CHỖ ĐANG CÓ ƯU ĐÃI CỰC TỐT - GIẢM GIÁ LÊN ĐẾN HÀNG TRĂM TRIỆU ĐỒNG!!!,630 triệu,630000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Plus - 52000 km,799 triệu,799000000,Cần phân tích
otodien_B2C,VinFast VF5 2024 Plus - 30000 km,365 triệu,365000000,Cần phân tích
otodien_B2C,VinFast VF3 2025 - 20000 km,240 triệu,240000000,Cần phân tích
otodien_B2C,🚗 VINFAST VF8 PLUS 2026 – XE MỚI 100%,954 triệu,954000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 80000 km,550 triệu,550000000,Cần phân tích
otodien_B2C,VINFAST VF6 PLUS – ƯU ĐÃI KHỦNG NGAY HÔM NAY,699 triệu,699000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 10000 km,1 tỷ 189 triệu,1189000000,Cần phân tích
otodien_B2C,VF7 eco Vin2026 có HUD màu đỏ 🔥 🔥,690 triệu,690000000,Cần phân tích
otodien_B2C,VinFast VF8 2023 Plus - 79000 km,735 triệu,735000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 600 km,1 tỷ 140 triệu,1140000000,Cần phân tích
otodien_B2C,🔴 VF3 – Màu đỏ mới 100% | Ưu đãi lên đến 13% ⚡,266 triệu,266000000,Cần phân tích
otodien_B2C,🚗 VINFAST VF9 PLUS 2026 MỚI –  ƯU ĐÃI KHỦNG 💥,1 tỷ 395 triệu,1395000000,Cần phân tích
otodien_B2C,"🚗 VF8 PLUS – SUV ĐIỆN ĐẲNG CẤP, ƯU ĐÃI CỰC LỚN 🎁",995 triệu,995000000,Cần phân tích
otodien_B2C,VinFast VF8 2024 Plus - 30000 km,695 triệu,695000000,Cần phân tích
otodien_B2C,VinFast Limo Green 2025 - 8000 km,600 triệu,600000000,Cần phân tích
otodien_B2C,"VINFAST VF 7 PLUS MỚI 100% – SUV ĐIỆN THỂ THAO, GIÁ TỐT, HỖ TRỢ TRẢ GÓP",830 triệu,830000000,Cần phân tích
otodien_B2C,VinFast VF8 2025 Plus - 31000 km,833 triệu,833000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 20000 km,1 tỷ 195 triệu,1195000000,Cần phân tích
otodien_B2C,VF9 plus Vin2026 màu đen - Xe mới 🔥,1 tỷ 365 triệu,1365000000,Cần phân tích
otodien_B2C,VinFast VFe34 2022 - 60000 km,349 triệu,349000000,Cần phân tích
otodien_B2C,🚐 LIMO GREEN 2026 MỚI – TIẾT KIỆM VƯỢT TRỘI 💥,622 triệu,622000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 2000 km,1 tỷ 190 triệu,1190000000,Cần phân tích
otodien_B2C,VinFast VF9 2025 Plus - 7000 km,1 tỷ 222 triệu,1222000000,Cần phân tích
otodien_B2C,VinFast VF7 2026 Plus - 10 km,785 triệu,785000000,Cần phân tích
otodien_B2C,VinFast VF9 2026 Plus - 5000 km,1 tỷ 285 triệu,1285000000,Cần phân tích
otodien_B2C,"VinFast VF 2 Xe Mới – Giá Hấp Dẫn, Phù Hợp Đi Lại Hằng Ngày",188 triệu,188000000,Cần phân tích
otodien_B2C,🌿 VF5 Plus – Xanh Lá Mới 100% | Ưu đãi đến 14% ⚡,422 triệu,422000000,Cần phân tích
otodien_B2C,VinFast VF7 2025 Eco - 20000 km,635 triệu,635000000,Cần phân tích
otodien_B2C,🤍 VF5 Plus–  Mới 100% | Ưu đãi đến 14% ⚡,422 triệu,422000000,Cần phân tích
otodien_B2C,"VINFAST VF 6 ECO MỚI 100% – SUV ĐIỆN 5 CHỖ, GIÁ TỐT, HỖ TRỢ TRẢ GÓP",646 triệu,646000000,Cần phân tích
otodien_B2C,"VINFAST VF 5 MỚI 100% – SUV ĐIỆN GẦM CAO, GIÁ TỐT, HỖ TRỢ TRẢ GÓP",451 triệu,451000000,Cần phân tích
otodien_B2C,VinFast VF6 2025 Plus - 19000 km,620 triệu,620000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 15000 km,1 tỷ 148 triệu,1148000000,Cần phân tích
otodien_B2C,"🚗 VF MPV 7 – MPV ĐIỆN 7 CHỖ RỘNG RÃI, GIÁ TỐT 💥",685 triệu,685000000,Cần phân tích
otodien_B2C,"VINFAST VF 3 MỚI 100% – XE ĐIỆN MINI CÁ TÍNH, GIÁ TỐT, HỖ TRỢ TRẢ GÓP",296 triệu,296000000,Cần phân tích
otodien_B2C,🔥 VINFAST VF5 PLUS 2026 – GIÁ TỐT – GIAO NGAY!,422 triệu,422000000,Cần phân tích
otodien_B2C,VinFast VF9 2024 Plus - 40000 km,1 tỷ 120 triệu,1120000000,Cần phân tích
otodien_B2C,"Xe VINFAST VF 6 ECO NEW 100% – SUV ĐIỆN HIỆN ĐẠI, SẴN XE GIAO NGAY 2026",646 triệu,646000000,Cần phân tích
