source,subject,price_raw,battery_status
phoxedien_B2C,Xe điện hotgirl Dylexe X2 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện V3 946 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện Osakar Momo ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Daelim Nova Revo 946,20.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Victoria Viral,18.500.000₫,Kèm pin
phoxedien_B2C,Xe máy điện ESPERO Velia P (2 Pin),32.490.000₫,Kèm pin
phoxedien_B2C,Xe máy điện ESPERO Velia P (1 Pin),25.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện NAVO CITY,16.990.000₫,Kèm pin
phoxedien_B2C,Xe điện Takashi Money Plus,13.890.000₫,Kèm pin
phoxedien_B2C,Xe điện V1 Plus,11.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Yadea Orla (ưu đãi trong tháng),17.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện YADEA OSSY (ưu đãi trong tháng ),18.490.000₫,Kèm pin
phoxedien_B2C,Xe điện DAELIM NOVA LUNA,13.990.000₫,Kèm pin
phoxedien_B2C,Xe Máy Điện YADEA Osta H+,27.490.000₫,Kèm pin
phoxedien_B2C,Xe điện Takashi Money,13.990.000₫,Kèm pin
phoxedien_B2C,Xe Máy Điện ESPERO VELIA E,23.500.000₫,Kèm pin
phoxedien_B2C,Xe Điện VC Osakar – Hot Girl Style,14.990.000₫,Kèm pin
phoxedien_B2C,Xe điện Takashi X2,13.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Victoria V38 Pro,18.500.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Osakar Nispa Viora,19.490.000₫,Kèm pin
phoxedien_B2C,Xe điện Takashi Mono,13.990.000₫,Kèm pin
phoxedien_B2C,Xe điện Yadea X-Sky,11.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Yadea Vekoo,15.990.000₫,Kèm pin
phoxedien_B2C,Xe Máy Điện Osakar Nispa Lumia,19.300.000₫,Kèm pin
phoxedien_B2C,Xe điện Osakar Momo ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện V3 946 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe Máy Điện YADEA VOLTGUARD U,45.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện YADEA VOLTGUARD P,25.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Yadea XMEN NEO,15.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Espero E-Sync,15.000.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Victoria V88 Pro,18.490.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Victoria X-Sport,15.490.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Yadea X-Bull chính hãng,12.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện YADEA OCEAN,16.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện OSAKAR X3,12.500.000₫,Kèm pin
phoxedien_B2C,Xe Máy Điện Osakar Nispa Viva,16.990.000₫,Kèm pin
phoxedien_B2C,Xe Máy Điện Osakar Nispa Vera X,18.990.000₫,Kèm pin
phoxedien_B2C,Xe điện hotgirl Dylexe X2 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện V3 946 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện Osakar Momo ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe máy điện Daelim Nova Revo 946,20.990.000₫,Kèm pin
phoxedien_B2C,Xe ga 50cc ESPERO 50VS Classic Plus,22.800.000₫,Kèm pin
phoxedien_B2C,Xe Máy Điện YADEA Osta H+,27.490.000₫,Kèm pin
phoxedien_B2C,Xe máy ESPERO Retro X,18.990.000₫,Kèm pin
phoxedien_B2C,Xe Ga 50cc DVMotor VANIO S giá tốt cuối năm,19.990.000₫,Kèm pin
phoxedien_B2C,Xe điện hotgirl Dylexe X2 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện V3 946 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện Osakar Momo ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện Mandi Plus S,12.500.000₫,Kèm pin
phoxedien_B2C,Xe điện hotgirl Dylexe X2 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
phoxedien_B2C,Xe điện V3 946 ( ưu đãi trong tháng ),11.990.000₫,Kèm pin
