source,subject,price_raw,battery_status
thegioixedien_B2C,Xe Máy Điện Dibao LS007,"22,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Shine,"22,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Tesla E Đèn Vuông,"17,690,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Tesla Dio E,"14,490,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Tesla G,"20,900,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Pansy Dio Đời Mới,"15,690,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Gogo Moon,"14,500,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Creer Nile,"15,190,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Xman Neo,"16,500,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Creer E,"14,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Tesla Chic Q,"14,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Tesla Chic,"16,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Pansy Neo S4,"17,190,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Pansy Neo S3,"15,490,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg T72 Pin 72V48A,"36,750,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg T61,"28,840,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg R60,"16,840,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg T71 Vario 8 Acquy 23A,"26,840,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg Venus R53 6 Ắc Quy 23A 100km/1 Lần Sạc,"20,800,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg Power F52 6 bình 22.3Ah  100km/1 Lần Sạc,"21,850,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg Queen R71 - 6 Bình 23Ah 100Km/1 Lần Sạc,"21,500,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg R51 Plus 2026,"13,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg NOVA R54 Plus,"16,400,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg Vera R52 70Km/1 Lần Sạc,"18,840,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg Vera R51 70Km/1 Lần Sạc,"13,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Tailg Gogo R31 70Km/1 Lần Sạc,"16,400,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Gogo S5,"18,200,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Tesla SD,"17,390,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Pansy S2 Dibao,"16,890,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Gogo Cross,"18,590,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Gogo S4,"18,100,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Dibao Pansy SQ2,"15,690,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Vera Milans New,"15,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện DK Bike Roma GT,"18,900,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Motor Thái Spaly,"14,500,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Motor Thái VR6,"15,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Xmen Motor Thái,"15,200,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện DK Roma SX NFC,"19,990,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện DK Roma Lite Đèn Vuông Mới Nhất,"17,400,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Motor Thái VR3,"16,290,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Vespro,"13,900,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Xmen Sport,"14,490,000 đ",Kèm pin
thegioixedien_B2C,Xe Máy Điện Honda Q1 - Chính Hãng Honda,"13,800,000 đ",Kèm pin
